Price Period,Town,Super,Diesel,Kerosene
May 15th 2022 - June 14th 2022,Bomet,151.64000000000001,132.82,120.78
May 15th 2022 - June 14th 2022,Muhoroni,150.77,131.93,119.9
May 15th 2022 - June 14th 2022,Mbita,151.34,132.5,120.47
May 15th 2022 - June 14th 2022,Mbale,150.53,131.7,119.66000000000001
May 15th 2022 - June 14th 2022,Etago,151.99,133.15,121.12
May 15th 2022 - June 14th 2022,Magenche,152.08,133.26,121.22
May 15th 2022 - June 14th 2022,Kilgoris,151.92000000000002,133.09,121.06
May 15th 2022 - June 14th 2022,Malava,150.9,132.06,120.03
May 15th 2022 - June 14th 2022,Lugari,151.29,132.45,120.42
May 15th 2022 - June 14th 2022,Rodi Kopany,151.41,132.58,120.55000000000001
May 15th 2022 - June 14th 2022,Ndhiwa,151.68,132.86,120.82000000000001
May 15th 2022 - June 14th 2022,Rangwe,151.4,132.57,120.54
May 15th 2022 - June 14th 2022,Sindo,151.41,132.58,120.55000000000001
May 15th 2022 - June 14th 2022,Awasi,150.5,131.66000000000003,119.63000000000001
May 15th 2022 - June 14th 2022,Ahero,150.53,131.7,119.66000000000001
May 15th 2022 - June 14th 2022,Ugunja,150.96,132.13,120.10000000000001
May 15th 2022 - June 14th 2022,Asembo,150.62,131.78,119.75
May 15th 2022 - June 14th 2022,Usenge,151.09,132.26,120.22
May 15th 2022 - June 14th 2022,Harambee,150.57,131.75,119.71000000000001
May 15th 2022 - June 14th 2022,Muhuru Bay,152.34,133.52,121.48
May 15th 2022 - June 14th 2022,Kehancha,152.58,133.75,121.71000000000001
May 15th 2022 - June 14th 2022,Ntimaru,152.88,134.06,122.02000000000001
May 15th 2022 - June 14th 2022,Rongo,151.66,132.83,120.80000000000001
May 15th 2022 - June 14th 2022,Kaspokwony,151.62,132.8,120.75
May 15th 2022 - June 14th 2022,Chwele,151.57,132.74,120.7
May 15th 2022 - June 14th 2022,Kimilili,151.49,132.67000000000002,120.62
May 15th 2022 - June 14th 2022,Nambale,151.4,132.57,120.54
May 15th 2022 - June 14th 2022,SioPort,151.39000000000001,132.56,120.53
May 15th 2022 - June 14th 2022,Port Bunyala,151.44,132.61,120.57000000000001
May 15th 2022 - June 14th 2022,Funyula,151.26000000000002,132.43,120.4
May 15th 2022 - June 14th 2022,Ogembo,151.57,132.74,120.7
May 15th 2022 - June 14th 2022,Nyangusu,151.83,133.0,120.96000000000001
May 15th 2022 - June 14th 2022,Sengera,151.75,132.92000000000002,120.88000000000001
May 15th 2022 - June 14th 2022,Keumbu,151.48000000000002,132.64,120.61
May 15th 2022 - June 14th 2022,Marani,151.18,132.35000000000002,120.31
May 15th 2022 - June 14th 2022,Kerina,151.54,132.71,120.68
May 15th 2022 - June 14th 2022,Ikonge,150.9,132.07,120.03
May 15th 2022 - June 14th 2022,Nyansiongo,151.3,132.47,120.43
15th August 2022 - 14th September 2022,Mombasa,156.86,137.76,125.69
15th August 2022 - 14th September 2022,Kilifi,157.57,138.47,126.41
15th August 2022 - 14th September 2022,Likoni Mainland,157.22,138.11,126.05
15th August 2022 - 14th September 2022,Kwale,157.22,138.11,126.05
15th August 2022 - 14th September 2022,Malindi,157.78,138.67,126.61
15th August 2022 - 14th September 2022,Lungalunga,157.93,138.83,126.76
15th August 2022 - 14th September 2022,Voi,158.34,139.24,127.17
15th August 2022 - 14th September 2022,Taveta,159.75,140.64,128.58
15th August 2022 - 14th September 2022,Lamu,160.16,141.06,129.0
15th August 2022 - 14th September 2022,Hola,160.45,141.34,129.28
15th August 2022 - 14th September 2022,Mpeketoni,160.16,141.06,129.0
15th August 2022 - 14th September 2022,Minjila,159.13,140.02,127.96
15th August 2022 - 14th September 2022,Garsen,159.22,140.11,128.05
15th August 2022 - 14th September 2022,Samburu,157.16,138.06,126.0
15th August 2022 - 14th September 2022,Taru,157.34,138.24,126.18
15th August 2022 - 14th September 2022,Mwatate,158.68,139.57,127.51
15th August 2022 - 14th September 2022,Wundanji,158.84,139.74,127.68
15th August 2022 - 14th September 2022,Kaloleni,157.01,137.92,125.85
15th August 2022 - 14th September 2022,Marereni,158.44,139.34,127.27
15th August 2022 - 14th September 2022,Nairobi,159.12,140.0,127.94
15th August 2022 - 14th September 2022,Thika,159.12,140.01,127.94
15th August 2022 - 14th September 2022,Machakos,159.36,140.24,128.18
15th August 2022 - 14th September 2022,Kajiado,159.54,140.42,128.36
15th August 2022 - 14th September 2022,Makuyu,159.41,140.29,128.23
15th August 2022 - 14th September 2022,Muranga,159.64,140.52,128.46
15th August 2022 - 14th September 2022,Sagana,159.85,140.75,128.68
15th August 2022 - 14th September 2022,Embu,160.22,141.1,129.04
15th August 2022 - 14th September 2022,Kerugoya,160.14,141.03,128.97
15th August 2022 - 14th September 2022,Narok,160.5,141.4,129.33
15th August 2022 - 14th September 2022,Nyeri,160.49,141.37,129.31
15th August 2022 - 14th September 2022,Namanga,160.66,141.55,129.48
15th August 2022 - 14th September 2022,Kiganjo,160.46,141.34,129.28
15th August 2022 - 14th September 2022,Chuka,160.75,141.63,129.57
15th August 2022 - 14th September 2022,Kitui,160.65,141.54,129.47
15th August 2022 - 14th September 2022,Mwingi,161.03,141.93,129.86
15th August 2022 - 14th September 2022,Nanyuki,161.05,141.94,129.87
15th August 2022 - 14th September 2022,Nkubu,162.01,142.91,130.84
15th August 2022 - 14th September 2022,Mtito Andei,161.55,142.44,130.38
15th August 2022 - 14th September 2022,Meru,162.21,143.1,131.04
15th August 2022 - 14th September 2022,Isiolo,162.07,142.96,130.89
15th August 2022 - 14th September 2022,Maua,162.66,143.56,131.49
15th August 2022 - 14th September 2022,Garissa,163.29,144.17,132.11
15th August 2022 - 14th September 2022,Marsabit,166.97,147.85,135.79
15th August 2022 - 14th September 2022,Liboi,166.05,146.94,134.87
15th August 2022 - 14th September 2022,Moyale,168.55,149.44,137.37
15th August 2022 - 14th September 2022,Sololo,167.61,148.49,136.43
15th August 2022 - 14th September 2022,Habaswein,165.98,146.86,134.8
15th August 2022 - 14th September 2022,Dadaab,164.67,145.55,133.49
15th August 2022 - 14th September 2022,Tarbaj,168.22,149.12,137.04
15th August 2022 - 14th September 2022,Elwak,169.83,150.72,138.65
15th August 2022 - 14th September 2022,Wajir,168.38,149.27,137.21
15th August 2022 - 14th September 2022,Modogashe,166.12,147.0,134.94
15th August 2022 - 14th September 2022,Mandera,172.15,153.05,140.98
15th August 2022 - 14th September 2022,Matuu,160.02,140.9,128.84
15th August 2022 - 14th September 2022,Merti,164.46,145.35,133.29
15th August 2022 - 14th September 2022,Oldonyiro,161.47,142.36,130.29
15th August 2022 - 14th September 2022,Eldas,170.16,151.04,138.98
15th August 2022 - 14th September 2022,Bute,167.19,148.08,136.02
15th August 2022 - 14th September 2022,Hadado,165.78,146.67,134.6
15th August 2022 - 14th September 2022,Mai Mahiu,159.24,140.12,128.06
15th August 2022 - 14th September 2022,Doldo,161.81,142.7,130.63
15th August 2022 - 14th September 2022,Lamuria,160.93,141.82,129.75
15th August 2022 - 14th September 2022,Sipili,161.8,142.68,130.62
15th August 2022 - 14th September 2022,Marimanti,161.42,142.31,130.25
15th August 2022 - 14th September 2022,Mutuobare,160.76,141.65,129.58
15th August 2022 - 14th September 2022,North Horr,167.93,148.82,136.75
15th August 2022 - 14th September 2022,Maikona,166.55,147.43,135.37
15th August 2022 - 14th September 2022,Kalacha,167.09,147.97,135.91
